location,population,total_cases,cases_per_million,total_deaths,deaths_per_million
Afghanistan,40099462,202108,5040.1674,7818,194.9652
Albania,2854710,332772,116569.4589,3592,1258.2714
Algeria,44177969,270783,6129.3673,6881,155.7564
Andorra,79034,46449,587709.0872,155,1961.1813
Angola,34503774,103131,2988.9774,1917,55.5591
Anguilla,15753,3866,245413.5720,12,761.7597
"Antigua and Barbuda",93220,9106,97682.9007,146,1566.1875
Argentina,45276780,9717546,214625.3775,129979,2870.7651
Armenia,2790974,444869,159395.6088,8706,3119.3411
Aruba,106536,44145,414366.9745,271,2543.7411
Australia,25921089,10343747,399047.5477,15569,600.6306
Austria,8922082,5387830,603875.8666,20980,2351.4691
Azerbaijan,10312992,822954,79797.7929,9937,963.5419
Bahamas,407906,37342,91545.6012,833,2042.1372
Bahrain,1463265,687591,469901.8975,1524,1041.5065
Bangladesh,169356251,2034141,12011.0181,29413,173.6753
Barbados,281200,103014,366337.1266,560,1991.4651
Belarus,9578168,994037,103781.5373,7118,743.1484
Belgium,11611420,4602438,396371.6755,32846,2828.7669
Belize,400031,68926,172301.6466,687,1717.3669
Benin,12996895,27782,2137.5875,163,12.5415
Bermuda,64185,18340,285736.5428,148,2305.8347
Bhutan,777486,62248,80063.1780,21,27.0101
Bolivia,12079472,1109238,91828.3514,22239,1841.0573
"Bonaire Sint Eustatius and Saba",26706,11427,427881.3750,38,1422.9012
"Bosnia and Herzegovina",3270943,399663,122185.8651,16165,4941.9999
Botswana,2588423,326344,126078.3110,2790,1077.8764
Brazil,214326223,34780462,162278.1455,687527,3207.8529
"British Virgin Islands",31122,7305,234721.4189,64,2056.4231
Brunei,445373,234582,526709.0731,225,505.1945
Bulgaria,6885868,1274336,185065.4122,37821,5492.5537
"Burkina Faso",22100683,21631,978.7480,387,17.5108
Burundi,12551213,50413,4016.5839,38,3.0276
Cambodia,16589023,137979,8317.4880,3056,184.2182
Cameroon,27198628,121652,4472.7256,1935,71.1433
Canada,38155012,4345847,113899.7676,46232,1211.6888
"Cape Verde",587925,62397,106130.8840,410,697.3679
"Cayman Islands",68136,30926,453886.3450,34,499.0020
"Central African Republic",5457154,15151,2776.3556,113,20.7068
Chad,17179740,7613,443.1383,193,11.2342
Chile,19493184,4715098,241884.4454,61549,3157.4626
China,1425893464,1020028,715.3606,5226,3.6651
Colombia,51516562,6309168,122468.7315,141827,2753.0370
Comoros,821626,8481,10322.2147,161,195.9529
Congo,5835806,24837,4255.9674,386,66.1434
"Cook Islands",17003,6389,375757.2193,1,58.8132
"Costa Rica",5153957,1130568,219359.2224,8982,1742.7386
"Cote d'Ivoire",27478249,87700,3191.6153,827,30.0965
Croatia,4060135,1244642,306551.8757,17076,4205.7715
Cuba,11256372,1111267,98723.3720,8530,757.7930
Curacao,190338,45434,238701.6781,289,1518.3516
Cyprus,896007,596297,665504.8454,1191,1329.2307
Czechia,10510750,4151036,394932.4263,41492,3947.5775
"Democratic Republic of Congo",95894118,93027,970.1012,1445,15.0687
Denmark,5854240,3325947,568126.1786,7247,1237.9062
Djibouti,1105557,15690,14191.9413,189,170.9546
Dominica,72412,15760,217643.4845,74,1021.9301
"Dominican Republic",11117874,647205,58213.0181,4384,394.3200
Ecuador,17797737,1007553,56611.2984,35908,2017.5599
Egypt,109262178,515645,4719.3366,24798,226.9587
"El Salvador",6314167,201785,31957.5013,4230,669.9221
England,56550000,NULL,NULL,NULL,NULL
"Equatorial Guinea",1634466,17133,10482.3227,183,111.9632
Eritrea,3620312,10185,2813.2934,103,28.4506
Estonia,1328701,605622,455800.0634,2729,2053.8857
Eswatini,1192271,73526,61668.8656,1422,1192.6819
Ethiopia,120283026,493875,4105.9409,7572,62.9515
"Faeroe Islands",52888,34658,655309.3329,28,529.4207
"Falkland Islands",3764,1930,512752.3911,NULL,NULL
Fiji,924610,68257,73822.4765,878,949.5896
Finland,5535992,1335318,241206.6347,6407,1157.3355
France,67422000,36586874,542654.8308,156406,2319.8066
"French Polynesia",304032,76731,252378.0392,649,2134.6437
Gabon,2341179,48810,20848.4699,306,130.7034
Gambia,2639916,12508,4738.0295,372,140.9136
Georgia,3757980,1780691,473842.5963,16900,4497.0968
Germany,83408554,35172694,421691.6888,152482,1828.1338
Ghana,32833031,170573,5195.1646,1460,44.4674
Gibraltar,32670,20121,615886.1341,108,3305.7851
Greece,10445365,5081981,486529.7670,33426,3200.0797
Greenland,56243,11971,212844.2651,21,373.3798
Grenada,124610,19584,157162.3465,237,1901.9340
Guam,170534,NULL,NULL,NULL,NULL
Guatemala,17608483,1136676,64552.7499,19869,1128.3766
Guernsey,63065,NULL,NULL,NULL,NULL
Guinea,13531906,37999,2808.1040,456,33.6981
Guinea-Bissau,2060721,8831,4285.3933,176,85.4070
Guyana,804567,71422,88770.7301,1281,1592.1608
Haiti,11447569,33764,2949.4472,857,74.8631
Honduras,10278346,456988,44461.2392,11037,1073.8109
"Hong Kong",7494578,1875601,250261.0554,10326,1377.7961
Hungary,9709786,2132490,219622.7600,47798,4922.6626
Iceland,370335,206134,556614.9567,213,575.1549
India,1407563842,44644076,31717.2654,528977,375.8103
Indonesia,273753191,6470961,23637.9382,158429,578.7293
Iran,87923432,7556097,85939.5138,144544,1643.9759
Iraq,43533592,2460868,56528.0255,25356,582.4468
Ireland,4986526,1670377,334978.0990,8010,1606.3287
"Isle of Man",84263,38008,451063.9308,116,1376.6422
Israel,9291000,4677921,503489.5060,11751,1264.7724
Italy,59240330,23348075,394124.6614,178594,3014.7368
Jamaica,2827694,151931,53729.6468,3320,1174.1016
Japan,124612530,22020274,176709.9504,46380,372.1937
Jersey,109618,NULL,NULL,NULL,NULL
Jordan,11148278,1746997,156705.5468,14122,1266.7427
Kazakhstan,19196465,1484591,77336.6867,19052,992.4744
Kenya,53005614,338749,6390.8136,5678,107.1207
Kiribati,128874,3430,26615.1435,13,100.8737
Kosovo,1782115,272139,152705.6335,3201,1796.1804
Kuwait,4250114,661787,155710.4115,2566,603.7485
Kyrgyzstan,6527743,206334,31608.7812,2991,458.1982
Laos,7425058,216177,29114.5200,758,102.0867
Latvia,1873919,947539,505645.6549,6039,3222.6580
Lebanon,5592631,1218082,217801.2460,10699,1913.0531
Lesotho,2281454,34490,15117.5522,706,309.4518
Liberia,5193416,7988,1538.1013,294,56.6101
Libya,6735277,507024,75278.8638,6437,955.7142
Liechtenstein,39039,20509,525346.4484,86,2202.9253
Lithuania,2786651,1265120,453992.9830,9373,3363.5357
Luxembourg,639321,300099,469402.6944,1140,1783.1418
Macao,686607,793,1154.9547,6,8.7386
Madagascar,28915653,66706,2306.9166,1411,48.7971
Malawi,19889742,88073,4428.0615,2683,134.8937
Malaysia,33573874,4882059,145412.4418,36444,1085.4869
Maldives,521458,185194,355146.5315,308,590.6516
Mali,21904983,32715,1493.4958,742,33.8736
Malta,526748,115197,218694.7079,808,1533.9403
"Marshall Islands",42050,15389,365969.0844,17,404.2806
Mauritania,4614974,63280,13711.8866,997,216.0359
Mauritius,1298915,263780,203077.1836,1032,794.5093
Mexico,126705138,7106865,56089.7933,330331,2607.0845
"Micronesia (country)",113131,21815,192829.5516,55,486.1621
Moldova,3061506,592535,193543.6351,11879,3880.1165
Monaco,36686,14885,405740.6095,63,1717.2763
Mongolia,3347782,984253,294001.5210,2131,636.5409
Montenegro,627859,282282,449594.5746,2785,4435.7093
Montserrat,4417,1403,317636.4048,8,1811.1841
Morocco,37076584,1265389,34129.0611,16280,439.0912
Mozambique,32077072,230370,7181.7652,2224,69.3330
Myanmar,53798084,630603,11721.6628,19476,362.0203
Namibia,2530151,169874,67139.8664,4080,1612.5520
Nauru,12512,4611,368526.2148,1,79.9233
Nepal,30034989,1000455,33309.6510,12018,400.1333
Netherlands,17501696,8505486,485980.6730,22858,1306.0449
"New Caledonia",287800,74377,258432.9395,314,1091.0354
"New Zealand",5129728,1814974,353814.8611,2065,402.5555
Nicaragua,6850540,15145,2210.7746,245,35.7636
Niger,25252722,9415,372.8311,314,12.4343
Nigeria,213401323,266043,1246.6792,3155,14.7844
Niue,1937,NULL,NULL,NULL,NULL
"North Korea",25971909,1,0.0385,6,0.2310
"North Macedonia",2103330,343850,163478.8645,9559,4544.6982
"Northern Cyprus",382230,NULL,NULL,NULL,NULL
"Northern Ireland",1896000,NULL,NULL,NULL,NULL
"Northern Mariana Islands",49481,NULL,NULL,NULL,NULL
Norway,5403021,1463998,270959.1541,4187,774.9368
Oman,4520471,398660,88189.9253,4628,1023.7871
Pakistan,231402116,1572778,6796.7313,30619,132.3194
Palau,18024,5490,304593.8748,7,388.3711
Palestine,5133392,702804,136908.3055,5707,1111.7405
Panama,4351267,989005,227291.2694,8506,1954.8329
"Papua New Guinea",9949437,45328,4555.8357,668,67.1395
Paraguay,6703799,717628,107047.9589,19598,2923.4170
Peru,33715472,4152499,123163.0096,216877,6432.5660
Philippines,113880328,3994634,35077.4719,63779,560.0528
Pitcairn,47,NULL,NULL,NULL,NULL
Poland,38307726,6334887,165368.3907,118029,3081.0756
Portugal,10290103,5509424,535409.9954,25128,2441.9581
"Puerto Rico",3256028,NULL,NULL,NULL,NULL
Qatar,2688235,465616,173205.0955,684,254.4420
Romania,19328560,3283353,169870.5439,67163,3474.8062
Russia,145102755,21068678,145198.3320,381670,2630.3429
Rwanda,13461888,132533,9845.0529,1467,108.9743
"Saint Helena",5404,2013,372501.8505,NULL,NULL
"Saint Kitts and Nevis",47606,6548,137545.6875,46,966.2648
"Saint Lucia",179652,29550,164484.6704,405,2254.3584
"Saint Pierre and Miquelon",5883,3231,549209.5869,1,169.9813
"Saint Vincent and the Grenadines",104332,9452,90595.4070,116,1111.8353
Samoa,218764,15946,72891.3350,29,132.5629
"San Marino",33746,21452,635690.1559,119,3526.3439
"Sao Tome and Principe",223107,6263,28071.7324,77,345.1259
"Saudi Arabia",35950396,820334,22818.4969,9393,261.2767
Scotland,5466000,NULL,NULL,NULL,NULL
Senegal,16876720,88630,5251.6129,1988,117.7954
Serbia,6871547,2396512,348758.7293,17186,2501.0380
Seychelles,106470,47141,442763.2197,170,1596.6939
"Sierra Leone",8420641,7752,920.5950,126,14.9632
Singapore,5453600,2064163,378495.4892,1662,304.7528
"Sint Maarten (Dutch part)",44042,NULL,NULL,NULL,NULL
Slovakia,5447622,2640491,484705.2530,20557,3773.5731
Slovenia,2119410,1225660,578302.4521,6872,3242.4118
"Solomon Islands",707851,21544,30435.7838,153,216.1472
Somalia,17065581,27225,1595.3163,1361,79.7512
"South Africa",59392255,4025375,67776.0930,102257,1721.7228
"South Korea",51830139,25311636,488357.4786,29000,559.5200
"South Sudan",10748272,17823,1658.2200,138,12.8393
Spain,47486935,13486386,284002.0313,114862,2418.8127
"Sri Lanka",21773441,670994,30817.0858,16774,770.3881
Sudan,45657202,63449,1389.6822,4965,108.7452
Suriname,612984,81158,132398.2355,1386,2261.0704
Sweden,10467097,2608289,249189.3407,20562,1964.4415
Switzerland,8691406,4201711,483432.8301,14042,1615.6189
Syria,21324367,57344,2689.1302,3163,148.3280
Taiwan,23859912,7450158,312245.8289,12323,516.4730
Tajikistan,9750064,17786,1824.1932,125,12.8204
Tanzania,63588334,39679,623.9981,845,13.2886
Thailand,71601103,4689897,65500.3457,32922,459.7974
Timor,1320942,23297,17636.6563,138,104.4709
Togo,8644829,39284,4544.2194,289,33.4304
Tokelau,1849,NULL,NULL,NULL,NULL
Tonga,106017,16182,152635.8980,12,113.1894
"Trinidad and Tobago",1525663,184524,120946.7622,4241,2779.7751
Tunisia,12262946,1146044,93455.8466,29257,2385.8052
Turkey,84775404,16919638,199581.9212,101203,1193.7779
Turkmenistan,6341855,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",45114,6380,141419.5150,36,797.9785
Tuvalu,11204,20,1785.0768,NULL,NULL
Uganda,45853778,169396,3694.2648,3630,79.1647
Ukraine,43531422,5583603,128266.0373,117686,2703.4724
"United Arab Emirates",9365144,1035096,110526.4372,2348,250.7169
"United Kingdom",67281040,23855526,354565.3575,208497,3098.8968
"United States",336997624,97198630,288425.2679,1067686,3168.2301
"United States Virgin Islands",100091,NULL,NULL,NULL,NULL
Uruguay,3426260,988527,288514.8821,7510,2191.8944
Uzbekistan,34081449,244450,7172.5237,1637,48.0320
Vanuatu,319136,11976,37526.3211,14,43.8684
Vatican,511,29,56751.4677,NULL,NULL
Venezuela,28199866,545593,19347.3614,5820,206.3840
Vietnam,97468028,11496987,117956.4954,43159,442.8016
Wales,3170000,NULL,NULL,NULL,NULL
"Wallis and Futuna",11627,761,65451.1052,7,602.0470
"Western Sahara",565581,NULL,NULL,NULL,NULL
Yemen,32981641,11939,361.9893,2158,65.4303
Zambia,19473125,333644,17133.5623,4017,206.2843
Zimbabwe,15993524,257893,16124.8390,5606,350.5169
