location,population,total_cases,total_deaths,cases_per_million,deaths_per_million
Afghanistan,40099462,202116,7818,5040.3669,194.9652
Albania,2854710,332772,3592,116569.4589,1258.2714
Algeria,44177969,270783,6881,6129.3673,155.7564
Andorra,79034,46449,157,587709.0872,1986.4868
Angola,34503774,103131,1920,2988.9774,55.6461
Anguilla,15753,3866,13,245413.5720,825.2396
"Antigua and Barbuda",93220,9108,146,97704.3553,1566.1875
Argentina,45276780,9717546,129979,214625.3775,2870.7651
Armenia,2790974,444869,8708,159395.6088,3120.0577
Aruba,106536,44145,292,414366.9745,2740.8576
Australia,25921089,10373177,15221,400182.9167,587.2053
Austria,8922082,5400765,21004,605325.6404,2354.1590
Azerbaijan,10312992,822979,9937,79800.2170,963.5419
Bahamas,407906,37390,833,91663.2754,2042.1372
Bahrain,1463265,687591,1524,469901.8975,1041.5065
Bangladesh,169356251,2034141,29413,12011.0181,173.6753
Barbados,281200,103014,560,366337.1266,1991.4651
Belarus,9578168,994037,7118,103781.5373,743.1484
Belgium,11611420,4602438,32963,396371.6755,2838.8431
Belize,400031,68926,691,172301.6466,1727.3661
Benin,12996895,27991,163,2153.6682,12.5415
Bermuda,64185,18340,148,285736.5428,2305.8347
Bhutan,777486,62248,21,80063.1780,27.0101
Bolivia,12079472,1109238,22239,91828.3514,1841.0573
"Bonaire Sint Eustatius and Saba",26706,11427,40,427881.3750,1497.7908
"Bosnia and Herzegovina",3270943,399663,16187,122185.8651,4948.7258
Botswana,2588423,326344,2790,126078.3110,1077.8764
Brazil,214326223,34675516,687610,161788.4901,3208.2402
"British Virgin Islands",31122,7305,64,234721.4189,2056.4231
Brunei,445373,234600,225,526749.4886,505.1945
Bulgaria,6885868,1274336,37821,185065.4122,5492.5537
"Burkina Faso",22100683,21631,387,978.7480,17.5108
Burundi,12551213,50413,38,4016.5839,3.0276
Cambodia,16589023,137979,3056,8317.4880,184.2182
Cameroon,27198628,121652,1935,4472.7256,71.1433
Canada,38155012,4361808,46592,114318.0875,1221.1240
"Cape Verde",587925,62397,411,106130.8840,699.0688
"Cayman Islands",68136,30926,35,453886.3450,513.6785
"Central African Republic",5457154,15151,113,2776.3556,20.7068
Chad,17179740,7613,193,443.1383,11.2342
Chile,19493184,4715098,49258,241884.4454,2526.9345
China,1425893464,1019502,3924,714.9917,2.7520
Colombia,51516562,6309168,141827,122468.7315,2753.0370
Comoros,821626,8481,163,10322.2147,198.3871
Congo,5835806,24837,417,4255.9674,71.4554
"Cook Islands",17003,6389,1,375757.2193,58.8132
"Costa Rica",5153957,1130568,8986,219359.2224,1743.5147
"Cote d'Ivoire",27478249,87734,827,3192.8526,30.0965
Croatia,4060135,1244642,17076,306551.8757,4205.7715
Cuba,11256372,1111267,8531,98723.3720,757.8818
Curacao,190338,45434,289,238701.6781,1518.3516
Cyprus,896007,596297,1191,665504.8454,1329.2307
Czechia,10510750,4154346,41522,395247.3420,3950.4317
"Democratic Republic of Congo",95894118,93027,1445,970.1012,15.0687
Denmark,5854240,3327948,7193,568467.9822,1228.6821
Djibouti,1105557,15690,189,14191.9413,170.9546
Dominica,72412,15794,74,218113.0199,1021.9301
"Dominican Republic",11117874,647205,4384,58213.0181,394.3200
Ecuador,17797737,1019026,23270,57255.9309,1307.4696
Egypt,109262178,515645,24798,4719.3366,226.9587
"El Salvador",6314167,201877,4230,31972.0717,669.9221
England,56550000,NULL,NULL,NULL,NULL
"Equatorial Guinea",1634466,17230,183,10541.6693,111.9632
Eritrea,3620312,10185,103,2813.2934,28.4506
Estonia,1328701,606392,2738,456379.5767,2060.6592
Eswatini,1192271,73526,1422,61668.8656,1192.6819
Ethiopia,120283026,493875,7572,4105.9409,62.9515
"Faeroe Islands",52888,34658,28,655309.3329,529.4207
"Falkland Islands",3764,1932,NULL,513283.7407,NULL
Fiji,924610,68257,880,73822.4765,951.7526
Finland,5535992,1335318,6223,241206.6347,1124.0984
France,67422000,37040381,156793,549381.2257,2325.5466
"French Polynesia",304032,76740,649,252407.6413,2134.6437
Gabon,2341179,48810,306,20848.4699,130.7034
Gambia,2639916,12608,372,4775.9095,140.9136
Georgia,3757980,1780691,16900,473842.5963,4497.0968
Germany,83408554,35172753,152503,421692.3962,1828.3856
Ghana,32833031,170573,1460,5195.1646,44.4674
Gibraltar,32670,20144,108,616590.1439,3305.7851
Greece,10445365,5081981,33426,486529.7670,3200.0797
Greenland,56243,11972,22,212862.0451,391.1598
Grenada,124610,19601,237,157298.7722,1901.9340
Guam,170534,NULL,NULL,NULL,NULL
Guatemala,17608483,1136676,19872,64552.7499,1128.5470
Guernsey,63065,NULL,NULL,NULL,NULL
Guinea,13531906,37999,456,2808.1040,33.6981
Guinea-Bissau,2060721,8831,176,4285.3933,85.4070
Guyana,804567,71437,1281,88789.3737,1592.1608
Haiti,11447569,33799,858,2952.5046,74.9504
Honduras,10278346,457008,11131,44463.1850,1082.9563
"Hong Kong",7494578,1875625,10326,250264.2577,1377.7961
Hungary,9709786,2132490,47798,219622.7600,4922.6626
Iceland,370335,206408,181,557354.8274,488.7467
India,1407563842,44644235,521604,31717.3784,370.5722
Indonesia,273753191,6470961,158429,23637.9382,578.7293
Iran,87923432,7556097,144544,85939.5138,1643.9759
Iraq,43533592,2460868,25356,56528.0255,582.4468
Ireland,4986526,1678815,8029,336670.2590,1610.1390
"Isle of Man",84263,38008,116,451063.9308,1376.6422
Israel,9291000,4679151,11763,503621.8922,1266.0639
Italy,59240330,23348223,178625,394127.1597,3015.2600
Jamaica,2827694,151931,3320,53729.6468,1174.1016
Japan,124612530,22020272,46380,176709.9344,372.1937
Jersey,109618,NULL,NULL,NULL,NULL
Jordan,11148278,1747107,14122,156715.4138,1266.7427
Kazakhstan,19196465,1544990,19333,80483.0473,1007.1125
Kenya,53005614,338749,5678,6390.8136,107.1207
Kiribati,128874,3434,13,26646.1815,100.8737
Kosovo,1782115,272139,3201,152705.6335,1796.1804
Kuwait,4250114,661787,2566,155710.4115,603.7485
Kyrgyzstan,6527743,206334,3434,31608.7812,526.0624
Laos,7425058,216179,759,29114.7894,102.2214
Latvia,1873919,947539,6046,505645.6549,3226.3935
Lebanon,5592631,1218082,10699,217801.2460,1913.0531
Lesotho,2281454,34490,706,15117.5522,309.4518
Liberia,5193416,8114,294,1562.3628,56.6101
Libya,6735277,507024,6440,75278.8638,956.1596
Liechtenstein,39039,20513,87,525448.9101,2228.5407
Lithuania,2786651,1265479,9380,454121.8115,3366.0476
Luxembourg,639321,301447,1142,471511.1814,1786.2701
Macao,686607,792,6,1153.4983,8.7386
Madagascar,28915653,66713,1411,2307.1587,48.7971
Malawi,19889742,88073,2683,4428.0615,134.8937
Malaysia,33573874,4882167,36466,145415.6586,1086.1422
Maldives,521458,185194,308,355146.5315,590.6516
Mali,21904983,32715,742,1493.4958,33.8736
Malta,526748,115239,810,218774.4424,1537.7372
"Marshall Islands",42050,15390,17,365992.8656,404.2806
Mauritania,4614974,63311,997,13718.6038,216.0359
Mauritius,1298915,263922,1032,203186.5057,794.5093
Mexico,126705138,7107406,323287,56094.0631,2551.4908
"Micronesia (country)",113131,22340,55,197470.1894,486.1621
Moldova,3061506,592535,11294,193543.6351,3689.0341
Monaco,36686,14983,66,408411.9283,1799.0514
Mongolia,3347782,985670,2131,294424.7863,636.5409
Montenegro,627859,282282,2786,449594.5746,4437.3020
Montserrat,4417,1403,9,317636.4048,2037.5821
Morocco,37076584,1265389,16280,34129.0611,439.0912
Mozambique,32077072,230386,2259,7182.2640,70.4241
Myanmar,53798084,630603,19477,11721.6628,362.0389
Namibia,2530151,170495,4081,67385.3063,1612.9472
Nauru,12512,4611,1,368526.2148,79.9233
Nepal,30034989,1000456,12018,33309.6842,400.1333
Netherlands,17501696,8505486,22882,485980.6730,1307.4161
"New Caledonia",287800,74715,314,259607.3662,1091.0354
"New Zealand",5129728,1814979,2082,353815.8358,405.8695
Nicaragua,6850540,15145,246,2210.7746,35.9096
Niger,25252722,9419,314,372.9895,12.4343
Nigeria,213401323,266073,3160,1246.8198,14.8078
Niue,1937,NULL,NULL,NULL,NULL
"North Korea",25971909,1,6,0.0385,0.2310
"North Macedonia",2103330,343874,9560,163490.2749,4545.1736
"Northern Cyprus",382230,NULL,NULL,NULL,NULL
"Northern Ireland",1896000,NULL,NULL,NULL,NULL
"Northern Mariana Islands",49481,NULL,NULL,NULL,NULL
Norway,5403021,1463998,3846,270959.1541,711.8240
Oman,4520471,398660,4260,88189.9253,942.3797
Pakistan,231402116,1572778,30619,6796.7313,132.3194
Palau,18024,5490,7,304593.8748,388.3711
Palestine,5133392,702804,5707,136908.3055,1111.7405
Panama,4351267,989005,8506,227291.2694,1954.8329
"Papua New Guinea",9949437,45344,668,4557.4438,67.1395
Paraguay,6703799,717628,19598,107047.9589,2923.4170
Peru,33715472,4154962,217613,123236.0621,6454.3958
Philippines,113880328,3995279,63787,35083.1357,560.1231
Pitcairn,47,NULL,NULL,NULL,NULL
Poland,38307726,6334887,118029,165368.3907,3081.0756
Portugal,10290103,5509585,25128,535425.6415,2441.9581
"Puerto Rico",3256028,NULL,NULL,NULL,NULL
Qatar,2688235,465616,684,173205.0955,254.4420
Romania,19328560,3283353,67163,169870.5439,3474.8062
Russia,145102755,21068678,381670,145198.3320,2630.3429
Rwanda,13461888,132559,1467,9846.9843,108.9743
"Saint Helena",5404,2013,NULL,372501.8505,NULL
"Saint Kitts and Nevis",47606,6548,46,137545.6875,966.2648
"Saint Lucia",179652,29550,405,164484.6704,2254.3584
"Saint Pierre and Miquelon",5883,3233,1,549549.5495,169.9813
"Saint Vincent and the Grenadines",104332,10996,116,105394.3181,1111.8353
Samoa,218764,15946,29,72891.3350,132.5629
"San Marino",33746,21452,119,635690.1559,3526.3439
"Sao Tome and Principe",223107,6266,81,28085.1789,363.0545
"Saudi Arabia",35950396,820334,9393,22818.4969,261.2767
Scotland,5466000,NULL,NULL,NULL,NULL
Senegal,16876720,88630,1993,5251.6129,118.0917
Serbia,6871547,2396512,17189,348758.7293,2501.4746
Seychelles,106470,47146,170,442810.1813,1596.6939
"Sierra Leone",8420641,7752,126,920.5950,14.9632
Singapore,5453600,2064163,1662,378495.4892,304.7528
"Sint Maarten (Dutch part)",44042,NULL,NULL,NULL,NULL
Slovakia,5447622,2644803,20557,485496.7911,3773.5731
Slovenia,2119410,1225660,6872,578302.4521,3242.4118
"Solomon Islands",707851,21547,154,30440.0220,217.5599
Somalia,17065581,27225,1362,1595.3163,79.8098
"South Africa",59392255,4006789,101934,67463.1566,1716.2844
"South Korea",51830139,25311635,29000,488357.4594,559.5200
"South Sudan",10748272,17823,138,1658.2200,12.8393
Spain,47486935,13572857,115796,285822.9743,2438.4812
"Sri Lanka",21773441,670994,16774,30817.0858,770.3881
Sudan,45657202,63462,4965,1389.9669,108.7452
Suriname,612984,81158,1386,132398.2355,2261.0704
Sweden,10467097,2608289,20818,249189.3407,1988.8991
Switzerland,8691406,4201711,14194,483432.8301,1633.1075
Syria,21324367,57344,3163,2689.1302,148.3280
Taiwan,23859912,7450160,12323,312245.9127,516.4730
Tajikistan,9750064,17786,125,1824.1932,12.8204
Tanzania,63588334,39679,845,623.9981,13.2886
Thailand,71601103,4699237,32997,65630.7906,460.8449
Timor,1320942,23302,138,17640.4414,104.4709
Togo,8644829,39284,289,4544.2194,33.4304
Tokelau,1849,NULL,NULL,NULL,NULL
Tonga,106017,16182,12,152635.8980,113.1894
"Trinidad and Tobago",1525663,184524,4241,120946.7622,2779.7751
Tunisia,12262946,1146617,29261,93502.5727,2386.1314
Turkey,84775404,16096413,101203,189871.2627,1193.7779
Turkmenistan,6341855,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",45114,6381,36,141441.6811,797.9785
Tuvalu,11204,20,NULL,1785.0768,NULL
Uganda,45853778,169501,3636,3696.5547,79.2955
Ukraine,43531422,5583603,117686,128266.0373,2703.4724
"United Arab Emirates",9365144,1035096,2348,110526.4372,250.7169
"United Kingdom",67281040,23019314,208036,342136.7149,3092.0450
"United States",336997624,97198629,1068214,288425.2650,3169.7968
"United States Virgin Islands",100091,NULL,NULL,NULL,NULL
Uruguay,3426260,988548,7510,288521.0112,2191.8944
Uzbekistan,34081449,244450,1637,7172.5237,48.0320
Vanuatu,319136,11989,14,37567.0561,43.8684
Vatican,511,29,NULL,56751.4677,NULL
Venezuela,28199866,545593,5826,19347.3614,206.5967
Vietnam,97468028,10938047,43160,112221.8970,442.8119
Wales,3170000,NULL,NULL,NULL,NULL
"Wallis and Futuna",11627,761,7,65451.1052,602.0470
Yemen,32981641,11940,2158,362.0196,65.4303
Zambia,19473125,333644,4017,17133.5623,206.2843
Zimbabwe,15993524,257899,5606,16125.2142,350.5169
"Western Sahara",565581,NULL,NULL,NULL,NULL
